file_name,total_amount
company/154742/costs/1615294277.jpeg,8.0
company/58513/costs/1579471963.jpeg,3.85
company/12325/costs/1578498669.pdf,12.68
company/1220/costs/1597742959.pdf,12.1
company/204574/costs/1555361225.pdf,56.27
company/117279/costs/1586003938.jpeg,5.0
company/108539/costs/1568286747.jpeg,4.0
company/18812/costs/1548159530.jpg,278.06
company/204574/costs/1561810960.jpeg,3.96
company/25916/costs/1453736013.jpeg,250.0
company/200386/costs/1558430741.jpeg,39.0
company/21860/costs/1477913292.jpeg,28.0
company/23257/costs/1567361645.jpg,60.84
company/168579/costs/1571082680.jpg,125.29
company/85939/costs/1534833395.jpg,19.45
company/3024/costs/1603736487.jpeg,31.9
company/27902/costs/1625592385.jpeg,60.01
company/81377/costs/1492375149.jpeg,4.71
company/267944/costs/1623394466.jpg,63.43
company/1220/costs/1509438022.jpeg,2.5
company/74231/costs/1572186463.jpeg,19.9
company/25526/costs/1583762574.pdf,27.03
company/41564/costs/1618049397.jpeg,5.0
company/64758/costs/1598525405.jpeg,113.26
company/18342/costs/1516371724.jpeg,727.01
company/13712/costs/1478009044.jpeg,20.3
company/16749/costs/1578478444.jpg,96.33
company/135433/costs/1612469605.jpg,8.97
company/22120/costs/1572425611.pdf,484.0
company/310710/costs/1579462989.jpeg,10.07
company/287939/costs/1608720622.pdf,-168.58
company/79124/costs/1626183419.jpg,1780.3
company/101103/costs/1611913303.pdf,203.57
company/1261/costs/1515161602.jpeg,7.2
company/18305/costs/1532956072.jpg,137.0
company/21769/costs/1553171081.jpg,6.5
company/206975/costs/1563815972.PDF,140.36
company/92884/costs/1556077537.jpeg,47.18
company/21860/costs/1520416522.jpeg,14.73
company/3024/costs/1438337219.jpeg,25.0
company/323007/costs/1612295710.jpg,64.12
company/21769/costs/1583386244.pdf,18.5
company/3024/costs/1619465665.jpeg,65.35
company/302018/costs/1610913927.pdf,1096.14
company/912/costs/1434961139.jpeg,31.9
company/107238/costs/1564095019.jpeg,95.83
company/25526/costs/1500891083.jpeg,5.5
company/63945/costs/1564734891.jpeg,5.18
company/42964/costs/1574707663.jpg,25.98
company/79124/costs/1595079985.jpg,81.29
company/25916/costs/1452857143.jpeg,3.35
company/912/costs/1554904545.jpeg,9.7
company/60438/costs/1566466868.pdf,405.44
company/16748/costs/1524151251.jpeg,8.5
company/33443/costs/1498818373.jpeg,46.4
company/84745/costs/1600844725.jpeg,6.65
company/38408/costs/1564319816.jpeg,37.59
company/146797/costs/1543145498.jpeg,700.0
company/110911/costs/1509374412.jpeg,2.5
company/11882/costs/1569308799.pdf,60.41
company/107779/costs/1538653247.jpeg,250.6
company/87030/costs/1494435074.jpeg,49.68
company/128840/costs/1593770157.jpeg,9.9
company/108539/costs/1567782363.pdf,389.49
company/81377/costs/1596058185.jpeg,9.99
company/29342/costs/1483185153.jpg,6.99
company/133579/costs/1564259017.png,9.99
company/117279/costs/1587456483.jpeg,23.83
company/1261/costs/1588103910.jpeg,8.4
company/204574/costs/1555359850.pdf,2615.94
company/18045/costs/1572272779.pdf,52.99
company/142174/costs/1520507885.jpeg,103.95
company/126812/costs/1575888239.jpg,122.96
company/75483/costs/1594291667.pdf,1.75
company/51126/costs/1521120742.pdf,317.63
company/5690/costs/1472565961.jpeg,11.5
company/136148/costs/1542107953.pdf,707.85
company/124413/costs/1623009776.docx,5.99
company/63945/costs/1493730219.jpeg,2.0
company/912/costs/1463418882.jpeg,12.75
company/49686/costs/1476891988.jpeg,77.0
company/18812/costs/1480584721.pdf,1045.44
company/302018/costs/1610655469.pdf,495.37
company/5217/costs/1483618558.jpeg,20.0
company/61124/costs/1532946857.PDF,218.62
company/141637/costs/1536766056.jpeg,7.0
company/129997/costs/1627050190.pdf,51.43
company/23321/costs/1579532074.jpeg,18.0
company/36582/costs/1499930170.jpeg,15.05
company/110911/costs/1509374372.jpeg,9.7
company/12325/costs/1578496951.pdf,28.35
company/171139/costs/1602408654.pdf,85.31
company/13350/costs/1572788681.jpg,215.15
company/65896/costs/1483900922.jpeg,48.8
company/101103/costs/1517230280.jpeg,15.4
company/46168/costs/1561113817.jpg,5.67
company/142174/costs/1593441741.pdf,-225.06
company/10363/costs/1577784606.jpeg,29.95
company/65896/costs/1482513433.jpeg,21.6
company/4032/costs/1485766836.PNG,7.15
company/124980/costs/1546931691.pdf,174.78
company/142174/costs/1619776215.pdf,181.5
company/191444/costs/1624352891.pdf,58.36
company/129997/costs/1591285946.jpeg,13.57
company/65896/costs/1605118220.jpeg,66.99
company/5690/costs/1472557364.jpeg,2.45
company/59566/costs/1508931128.pdf,1276.0
company/203481/costs/1569256433.jpeg,25.78
company/24824/costs/1567022047.pdf,34.52
company/151116/costs/1535977386.jpeg,47.6
company/61692/costs/1609958772.jpeg,51.73
company/27603/costs/1495198308.jpeg,8.88
company/33443/costs/1459765862.pdf,2.99
company/30802/costs/1551355964.pdf,129.83
company/92884/costs/1532382817.jpeg,85.27
company/30802/costs/1529177029.jpg,42.43
company/18318/costs/1627905516.jpeg,151.57
company/87030/costs/1570118966.jpeg,83.12
company/30802/costs/1554910675.pdf,232.32
company/29342/costs/1490776393.jpg,7.93
company/63860/costs/1499074750.pdf,7.8
company/117279/costs/1583331794.jpeg,75.5
company/10812/costs/1582280560.png,535.0
company/267944/costs/1580823283.jpg,42.61
company/110911/costs/1519296261.jpeg,0.99
company/10880/costs/1546260690.jpeg,60.0
company/7415/costs/1539786795.jpeg,31.93
company/32632/costs/1584989348.jpeg,5.5
company/63945/costs/1564758659.jpeg,2.99
company/291984/costs/1610357097.jpeg,268.46
company/15274/costs/1578306319.jpeg,1.59
company/79124/costs/1571741339.jpg,69.44
company/180972/costs/1610066032.pdf,3.52
company/65896/costs/1585892004.jpeg,23.38
company/101103/costs/1571673401.jpeg,50.88
company/96807/costs/1502013484.jpg,5.25
company/13247/costs/1554901196.jpeg,84.3
company/30532/costs/1537991100.PDF,302.5
company/122947/costs/1582132231.jpeg,45.0
company/18812/costs/1625650289.jpg,88.08
company/231125/costs/1597476498.jpeg,5.6
company/79756/costs/1602006501.jpeg,85.0
company/22120/costs/1514583836.jpeg,14.19
company/58278/costs/1548315697.jpg,3.25
company/122947/costs/1578061859.jpeg,15.8
company/86054/costs/1626358148.pdf,18.15
company/104996/costs/1504987241.jpeg,22.9
company/99929/costs/1501578593.jpg,19.6
company/1770/costs/140699599274.jpeg,13.7
company/211142/costs/1557736667.pdf,385.99
company/1736/costs/1619295383.jpeg,6.0
company/180972/costs/1607341798.pdf,689.55
company/24050/costs/1491941517.jpg,7.0
company/30802/costs/1601455740.jpg,69.36
company/98475/costs/1555428323.JPG,46.52
company/146299/costs/1551618979.jpeg,15.0
company/18134/costs/1499121634.jpeg,31.1
company/84357/costs/1623069965.pdf,37.6
company/323007/costs/1603149452.jpg,8.7
company/72928/costs/1540727281.pdf,62.92
company/141637/costs/1569918651.pdf,18.6
company/14381/costs/1607941200.jpeg,14.15
company/5217/costs/1427271612.jpeg,220.0
company/912/costs/1559229288.jpeg,14.28
company/231125/costs/1594377070.jpeg,17.84
company/1261/costs/1554477474.jpeg,6.64
company/206975/costs/1575482765.jpg,13.5
company/202881/costs/1582044325.jpg,1.05
company/86054/costs/1603996024.pdf,39.55
company/345236/costs/1603908661.PDF,165.59
company/206975/costs/1590213866.jpg,1.87
company/1736/costs/1524823232.pdf,9.68
company/81377/costs/1492168688.jpeg,777.0
company/122710/costs/1555418460.jpeg,12.0
company/18812/costs/1469692485.jpg,74.48
company/36478/costs/1499941890.pdf,5.07
company/36478/costs/1589572722.pdf,22.57
company/302018/costs/1596570785.pdf,1419.57
company/107238/costs/1532070648.jpeg,193.67
company/291984/costs/1593256104.jpeg,60.87
company/53636/costs/1619771855.pdf,500.0
company/6504/costs/1474456013.jpeg,5.65
company/30532/costs/1512999555.jpg,37.99
company/912/costs/1589792168.pdf,528.98
company/32632/costs/1548922768.jpeg,5.8
company/11140/costs/1556374338.pdf,117.0
company/11140/costs/1496750256.jpeg,184.66
company/14381/costs/1561736419.jpeg,29.8
company/70186/costs/1570570622.pdf,13.5
company/53636/costs/1516214380.jpg,48.81
company/174240/costs/1536590677.jpeg,7.99
company/6105/costs/1541960070.jpg,36.09
company/122710/costs/1522527315.jpeg,22.22
